day	hour	value
1	1	1
1	2	3
1	3	0
1	4	0
1	5	2
1	6	0
1	7	0
1	8	1
1	9	0
1	10	0
1	11	1
1	12	10
1	13	6
1	14	10
1	15	6
1	16	4
1	17	3
1	18	6
1	19	18
1	20	16
1	21	22
1	22	4
1	23	0
1	24	2
2	1	1
2	2	0
2	3	1
2	4	1
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	2
2	12	5
2	13	12
2	14	4
2	15	3
2	16	9
2	17	7
2	18	7
2	19	8
2	20	7
2	21	6
2	22	0
2	23	0
2	24	0
3	1	0
3	2	1
3	3	1
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	3
3	11	6
3	12	13
3	13	8
3	14	10
3	15	4
3	16	14
3	17	5
3	18	8
3	19	6
3	20	5
3	21	9
3	22	0
3	23	0
3	24	1
4	1	2
4	2	6
4	3	2
4	4	0
4	5	1
4	6	0
4	7	0
4	8	0
4	9	0
4	10	2
4	11	1
4	12	3
4	13	17
4	14	8
4	15	19
4	16	13
4	17	19
4	18	10
4	19	4
4	20	17
4	21	11
4	22	2
4	23	3
4	24	2
5	1	3
5	2	1
5	3	1
5	4	1
5	5	0
5	6	2
5	7	0
5	8	0
5	9	1
5	10	1
5	11	8
5	12	11
5	13	8
5	14	19
5	15	22
5	16	14
5	17	8
5	18	8
5	19	10
5	20	9
5	21	5
5	22	2
5	23	6
5	24	9
6	1	3
6	2	4
6	3	0
6	4	1
6	5	2
6	6	1
6	7	1
6	8	2
6	9	1
6	10	7
6	11	4
6	12	2
6	13	8
6	14	9
6	15	6
6	16	19
6	17	12
6	18	9
6	19	22
6	20	20
6	21	6
6	22	1
6	23	2
6	24	4
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	3
7	12	7
7	13	10
7	14	17
7	15	16
7	16	20
7	17	11
7	18	12
7	19	6
7	20	18
7	21	11
7	22	0
7	23	5
7	24	0
